Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Death,Latitude,Longitude
08-03-2020,Uttar Pradesh,7,0,0,0,26.8467,80.9462
09-03-2020,Delhi,4,0,0,0,28.7041,77.1025
09-03-2020,Haryana,0,2,0,0,29.0588,76.0856
09-03-2020,Karnataka,1,0,0,0,15.3173,75.7139
09-03-2020,Kerala,9,0,3,0,10.8505,76.2711
09-03-2020,Maharashtra,2,0,0,0,19.7515,75.7139
09-03-2020,Punjab,1,0,0,0,31.1471,75.3412
09-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
09-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
09-03-2020,Telengana,1,0,0,0,18.1124,79.0193
09-03-2020,Jammu and Kashmir,1,0,0,0,33.7782,76.5762
09-03-2020,Ladakh,2,0,0,0,34.2996,78.2932
09-03-2020,Uttar Pradesh,7,0,0,0,26.8467,80.9462
10-03-2020,Delhi,4,0,0,0,28.7041,77.1025
10-03-2020,Haryana,0,2,0,0,29.0588,76.0856
10-03-2020,Karnataka,4,0,0,0,15.3173,75.7139
10-03-2020,Kerala,15,0,3,0,10.8505,76.2711
10-03-2020,Maharashtra,5,0,0,0,19.7515,75.7139
10-03-2020,Punjab,1,0,0,0,31.1471,75.3412
10-03-2020,Rajasthan,1,14,0,0,27.0238,74.2179
10-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
10-03-2020,Telengana,1,0,0,0,18.1124,79.0193
10-03-2020,Jammu and Kashmir,1,0,0,0,33.7782,76.5762
10-03-2020,Ladakh,2,0,0,0,34.2996,78.2932
10-03-2020,Uttar Pradesh,7,0,0,0,26.8467,80.9462
11-03-2020,Delhi,5,0,0,0,28.7041,77.1025
11-03-2020,Haryana,0,14,0,0,29.0588,76.0856
11-03-2020,Karnataka,4,0,0,0,15.3173,75.7139
11-03-2020,Kerala,17,0,3,0,10.8505,76.2711
11-03-2020,Maharashtra,2,0,0,0,19.7515,75.7139
11-03-2020,Punjab,1,0,0,0,31.1471,75.3412
11-03-2020,Rajasthan,1,2,0,0,27.0238,74.2179
11-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
11-03-2020,Telengana,1,0,0,0,18.1124,79.0193
11-03-2020,Jammu and Kashmir,1,0,0,0,33.7782,76.5762
11-03-2020,Ladakh,2,0,0,0,34.2996,78.2932
11-03-2020,Uttar Pradesh,9,0,0,0,26.8467,80.9462
12-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
12-03-2020,Delhi,6,0,0,0,28.7041,77.1025
12-03-2020,Haryana,0,14,0,0,29.0588,76.0856
12-03-2020,Karnataka,4,0,0,1,15.3173,75.7139
12-03-2020,Kerala,17,0,3,0,10.8505,76.2711
12-03-2020,Maharashtra,11,0,0,0,19.7515,75.7139
12-03-2020,Punjab,1,0,0,0,31.1471,75.3412
12-03-2020,Rajasthan,1,2,0,0,27.0238,74.2179
12-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
12-03-2020,Telengana,1,0,0,0,18.1124,79.0193
12-03-2020,Jammu and Kashmir,1,0,0,0,33.7782,76.5762
12-03-2020,Ladakh,3,0,0,0,34.2996,78.2932
12-03-2020,Uttar Pradesh,10,1,0,0,26.8467,80.9462
13-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
13-03-2020,Delhi,6,0,0,0,28.7041,77.1025
13-03-2020,Haryana,0,14,0,0,29.0588,76.0856
13-03-2020,Karnataka,6,0,0,1,15.3173,75.7139
13-03-2020,Kerala,19,0,3,0,10.8505,76.2711
13-03-2020,Maharashtra,14,0,0,0,19.7515,75.7139
13-03-2020,Punjab,1,0,0,0,31.1471,75.3412
13-03-2020,Rajasthan,1,2,0,0,27.0238,74.2179
13-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
13-03-2020,Telengana,1,0,0,0,18.1124,79.0193
13-03-2020,Jammu and Kashmir,1,0,0,0,33.7782,76.5762
13-03-2020,Ladakh,3,0,0,0,34.2996,78.2932
13-03-2020,Uttar Pradesh,10,1,0,0,26.8467,80.9462
14-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
14-03-2020,Delhi,7,0,1,1,28.7041,77.1025
14-03-2020,Haryana,0,14,0,0,29.0588,76.0856
14-03-2020,Karnataka,6,0,0,1,15.3173,75.7139
14-03-2020,Kerala,19,0,3,0,10.8505,76.2711
14-03-2020,Maharashtra,14,0,0,0,19.7515,75.7139
14-03-2020,Punjab,1,0,0,0,31.1471,75.3412
14-03-2020,Rajasthan,1,2,1,0,27.0238,74.2179
14-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
14-03-2020,Telengana,1,0,0,0,18.1124,79.0193
14-03-2020,Jammu and Kashmir,2,0,0,0,33.7782,76.5762
14-03-2020,Ladakh,3,0,0,0,34.2996,78.2932
14-03-2020,Uttar Pradesh,11,1,5,0,26.8467,80.9462
15-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
15-03-2020,Delhi,7,0,2,1,28.7041,77.1025
15-03-2020,Haryana,0,14,0,0,29.0588,76.0856
15-03-2020,Karnataka,6,0,0,1,15.3173,75.7139
15-03-2020,Kerala,22,0,3,0,10.8505,76.2711
15-03-2020,Maharashtra,32,0,0,0,19.7515,75.7139
15-03-2020,Punjab,1,0,0,0,31.1471,75.3412
15-03-2020,Rajasthan,2,2,3,0,27.0238,74.2179
15-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
15-03-2020,Telengana,3,0,1,0,18.1124,79.0193
15-03-2020,Jammu and Kashmir,2,0,0,0,33.7782,76.5762
15-03-2020,Ladakh,3,0,0,0,34.2996,78.2932
15-03-2020,Uttar Pradesh,12,1,4,0,26.8467,80.9462
15-03-2020,Uttarakhand,1,0,0,0,30.0688,79.0193
16-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
16-03-2020,Delhi,7,0,2,1,28.7041,77.1025
16-03-2020,Haryana,0,14,0,0,29.0588,76.0856
16-03-2020,Karnataka,6,0,0,1,15.3173,75.7139
16-03-2020,Kerala,23,0,3,0,10.8505,76.2711
16-03-2020,Maharashtra,32,0,0,0,19.7515,75.7139
16-03-2020,Odisha,1,0,0,0,20.9517,85.0985
16-03-2020,Punjab,1,0,0,0,31.1471,75.3412
16-03-2020,Rajasthan,2,2,3,0,27.0238,74.2179
16-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
16-03-2020,Telengana,3,0,1,0,18.1124,79.0193
16-03-2020,Jammu and Kashmir,3,0,0,0,33.7782,76.5762
16-03-2020,Ladakh,4,0,0,0,34.2996,78.2932
16-03-2020,Uttar Pradesh,12,1,4,0,26.8467,80.9462
16-03-2020,Uttarakhand,1,0,0,0,30.0688,79.0193
17-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
17-03-2020,Delhi,8,0,2,1,28.7041,77.1025
17-03-2020,Haryana,1,14,0,0,29.0588,76.0856
17-03-2020,Karnataka,11,0,0,1,15.3173,75.7139
17-03-2020,Kerala,24,2,3,0,10.8505,76.2711
17-03-2020,Maharashtra,36,3,0,1,19.7515,75.7139
17-03-2020,Odisha,1,0,0,0,20.9517,85.0985
17-03-2020,Punjab,1,0,0,0,31.1471,75.3412
17-03-2020,Rajasthan,2,2,3,0,27.0238,74.2179
17-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
17-03-2020,Telengana,3,2,1,0,18.1124,79.0193
17-03-2020,Jammu and Kashmir,3,0,0,0,33.7782,76.5762
17-03-2020,Ladakh,6,0,0,0,34.2996,78.2932
17-03-2020,Uttar Pradesh,14,1,5,0,26.8467,80.9462
17-03-2020,Uttarakhand,1,0,0,0,30.0688,79.0193
18-03-2020,Andhra Pradesh,1,0,0,0,15.9129,79.74
18-03-2020,Delhi,9,1,2,1,28.7041,77.1025
18-03-2020,Haryana,3,14,0,0,29.0588,76.0856
18-03-2020,Karnataka,11,0,0,1,15.3173,75.7139
18-03-2020,Kerala,25,2,3,0,10.8505,76.2711
18-03-2020,Maharashtra,39,3,0,1,19.7515,75.7139
18-03-2020,Odisha,1,0,0,0,20.9517,85.0985
18-03-2020,Puducherry,1,0,0,0,11.9416,79.8083
18-03-2020,Punjab,1,0,0,0,31.1471,75.3412
18-03-2020,Rajasthan,2,2,3,0,27.0238,74.2179
18-03-2020,Tamil Nadu,1,0,0,0,11.1271,78.6569
18-03-2020,Telengana,4,2,1,0,18.1124,79.0193
18-03-2020,Jammu and Kashmir,3,0,0,0,33.7782,76.5762
18-03-2020,Ladakh,8,0,0,0,34.2996,78.2932
18-03-2020,Uttar Pradesh,15,1,5,0,26.8467,80.9462
18-03-2020,Uttarakhand,1,0,0,0,30.0688,79.0193
18-03-2020,West Bengal,1,0,0,0,22.9868,87.855
19-03-2020,Andhra Pradesh,2,0,0,0,15.9129,79.74
19-03-2020,Chhattisgarh,1,0,0,0,21.2787,81.8661
19-03-2020,Delhi,11,1,3,1,28.7041,77.1025
19-03-2020,Haryana,3,14,0,0,29.0588,76.0856
19-03-2020,Karnataka,14,0,0,1,15.3173,75.7139
19-03-2020,Kerala,25,2,3,0,10.8505,76.2711
19-03-2020,Maharashtra,44,3,0,1,19.7515,75.7139
19-03-2020,Odisha,1,0,0,0,20.9517,85.0985
19-03-2020,Puducherry,1,0,0,0,11.9416,79.8083
19-03-2020,Punjab,2,0,0,1,31.1471,75.3412
19-03-2020,Rajasthan,5,2,3,0,27.0238,74.2179
19-03-2020,Tamil Nadu,2,0,1,0,11.1271,78.6569
19-03-2020,Telengana,4,2,1,0,18.1124,79.0193
19-03-2020,Chandigarh,1,0,0,0,30.7333,76.7794
19-03-2020,Jammu and Kashmir,4,0,0,0,33.7782,76.5762
19-03-2020,Ladakh,8,0,0,0,34.2996,78.2932
19-03-2020,Uttar Pradesh,18,1,9,0,26.8467,80.9462
19-03-2020,Uttarakhand,1,0,0,0,30.0688,79.0193
19-03-2020,West Bengal,1,0,0,0,22.9868,87.855
20-03-2020,Andhra Pradesh,3,0,0,0,15.9129,79.74
20-03-2020,Chhattisgarh,1,0,0,0,21.2787,81.8661
20-03-2020,Delhi,16,1,3,1,28.7041,77.1025
20-03-2020,Gujarat,5,0,0,0,22.2587,71.1924
20-03-2020,Haryana,3,14,0,0,29.0588,76.0856
20-03-2020,Karnataka,15,0,0,1,15.3173,75.7139
20-03-2020,Kerala,26,2,3,0,10.8505,76.2711
20-03-2020,Maharashtra,49,3,0,1,19.7515,75.7139
20-03-2020,Odisha,2,0,0,0,20.9517,85.0985
20-03-2020,Puducherry,1,0,0,0,11.9416,79.8083
20-03-2020,Punjab,2,0,0,1,31.1471,75.3412
20-03-2020,Rajasthan,15,2,3,0,27.0238,74.2179
20-03-2020,Tamil Nadu,3,0,1,0,11.1271,78.6569
20-03-2020,Telengana,8,9,1,0,18.1124,79.0193
20-03-2020,Chandigarh,1,0,0,0,30.7333,76.7794
20-03-2020,Jammu and Kashmir,4,0,0,0,33.7782,76.5762
20-03-2020,Ladakh,10,0,0,0,34.2996,78.2932
20-03-2020,Uttar Pradesh,22,1,9,0,26.8467,80.9462
20-03-2020,Uttarakhand,3,0,0,0,30.0688,79.0193
20-03-2020,West Bengal,2,0,0,0,22.9868,87.855
21-03-2020,Andhra Pradesh,3,0,0,0,15.9129,79.74
21-03-2020,Chhattisgarh,1,0,0,0,21.2787,81.8661
21-03-2020,Delhi,25,1,5,1,28.7041,77.1025
21-03-2020,Gujarat,7,0,0,0,22.2587,71.1924
21-03-2020,Haryana,3,14,0,0,29.0588,76.0856
21-03-2020,Himachal Pradesh,2,0,0,0,31.1048,77.1734
21-03-2020,Karnataka,15,0,1,1,15.3173,75.7139
21-03-2020,Kerala,33,7,3,0,10.8505,76.2711
21-03-2020,Madhya Pradesh,4,0,0,0,22.9734,78.6569
21-03-2020,Maharashtra,60,3,0,1,19.7515,75.7139
21-03-2020,Odisha,2,0,0,0,20.9517,85.0985
21-03-2020,Puducherry,1,0,0,0,11.9416,79.8083
21-03-2020,Punjab,13,0,0,1,31.1471,75.3412
21-03-2020,Rajasthan,15,2,3,0,27.0238,74.2179
21-03-2020,Tamil Nadu,3,0,1,0,11.1271,78.6569
21-03-2020,Telengana,10,11,1,0,18.1124,79.0193
21-03-2020,Chandigarh,1,0,0,0,30.7333,76.7794
21-03-2020,Jammu and Kashmir,4,0,0,0,33.7782,76.5762
21-03-2020,Ladakh,13,0,0,0,34.2996,78.2932
21-03-2020,Uttar Pradesh,23,1,9,0,26.8467,80.9462
21-03-2020,Uttarakhand,3,0,0,0,30.0688,79.0193
21-03-2020,West Bengal,3,0,0,0,22.9868,87.855
